"ensembl_id","baseMean","lfc_mle","lfcSE_mle","stat_mle","pvalue_mle","padj_mle","lfc_apeglm","lfcSE_apeglm","gene_symbol"
"ENSG00000118972",149.622074444306,4.71868098908272,0.481355600458653,9.80290036012169,1.09398420007954e-22,1.71066309366438e-18,4.61825011630042,0.495525269635852,"FGF23"
"ENSG00000095970",18.5898427827158,2.48304785772955,0.298953731577398,8.30579315611148,9.915483718957e-17,5.16828063044435e-13,2.41038789356867,0.305066798466485,"TREM2"
"ENSG00000171532",57.0902653240364,4.05365107065157,0.486356648575921,8.33472942648338,7.76756172515529e-17,5.16828063044435e-13,3.93194179897445,0.505747960199258,"NEUROD2"
"ENSG00000006327",39.9400770972004,2.96730323368748,0.370035416075983,8.01897090055341,1.06634762538338e-15,4.16861945453e-12,3.11996558737857,0.380263322292057,"TNFRSF12A"
"ENSG00000108821",966.058461948972,1.87253714982365,0.236444616310048,7.91955925682069,2.38353952713774e-15,7.33104139028169e-12,1.81457827007486,0.243040805307987,"COL1A1"
"ENSG00000136295",143.773099574123,1.60899354571861,0.207893609484655,7.7395045942351,9.98049324326668e-15,1.95081216056201e-11,1.55912674051262,0.213015406713603,"TTYH3"
"ENSG00000197859",386.737947953126,1.43897637314766,0.188638584049512,7.62821869342475,2.38019544984664e-14,4.13545736102799e-11,1.39045351935465,0.19352657826292,"ADAMTSL2"
"ENSG00000196154",94.9825851440315,1.09712903987318,0.144168598046721,7.61004167854662,2.74007547332518e-14,4.28465601763859e-11,1.06127049165387,0.147096841914779,"S100A4"
"ENSG00000008517",1527.61894958477,1.53880094861869,0.202709846365325,7.59115048533684,3.17077443712091e-14,4.50739998847815e-11,1.48608363550858,0.208271585520437,"IL32"
"ENSG00000106605",113.265223342722,1.14852036426425,0.155171160348152,7.40163546942198,1.34517350355568e-13,1.75287317292502e-10,1.10888275175993,0.158745487190579,"BLVRA"
"ENSG00000169442",92.9428893819972,1.2922907354423,0.175423485958879,7.36669168542927,1.74914374561093e-13,2.10395082693217e-10,1.24620604212977,0.179755974215056,"CD52"
