"gene_symbol","ensembl_id","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"SINHCAFP3","ENSG00000253488",71.5788551044199,7.65065202318582,1.09799606256768,1.82201285446555e-15,4.40450584341803e-12
NA,"ENSG00000271043",103.245045069426,4.88984893531551,0.254617957013235,0.000130922941903505,0.00120163094984216
NA,"ENSG00000228643",129.578984297718,4.84382515337914,0.527077945701762,2.98348752267245e-22,4.68795394437522e-18
"FGF23","ENSG00000118972",154.930390945406,4.71109696050947,0.498627677547587,3.13416879275173e-23,9.8494388481016e-19
"NEUROD2","ENSG00000171532",58.1763408047793,4.02734443317305,0.506764976878533,1.96072019804999e-17,6.84639921599099e-14
"LOC647132","ENSG00000230987",23.1150277994373,3.98781895239256,0.727618150234586,4.44895884632051e-10,7.51682691959507e-08
NA,"ENSG00000231611",946.185379443706,3.89881577063171,0.434108758721104,3.68245100057288e-21,3.85749017146678e-17
"MPO","ENSG00000005381",28.9473428531175,3.73444740395339,0.556441476032902,2.62482439784892e-13,3.43698881361667e-10
"PADI1","ENSG00000142623",27.1648170944627,3.64479649085472,0.529286795046429,3.60291760088012e-07,1.30334890315638e-05
"PRAMEF10","ENSG00000187545",49.2623678292447,3.59217752570595,0.481439546257139,1.47347839126968e-17,6.0527147127725e-14
NA,"ENSG00000244313",127.904972350483,3.56420653487886,0.633890265555097,2.03471211781625e-10,4.32046371719551e-08
"RBISP5","ENSG00000224058",90.7190909379428,3.41889095274384,0.404743649970838,4.4310750792939e-19,2.7850193088378e-15
"CXCL8","ENSG00000169429",30.8242359242974,3.41259880947946,0.375932072735063,1.27873473888081e-05,0.00019982853259109
"NR4A1","ENSG00000123358",81.6057293939659,3.36745077565144,0.352928042038015,2.60618949328821e-10,5.15107616453304e-08
"MYH4","ENSG00000264424",15.211190375576,3.3278538252806,0.425998426698008,0.00639787036043649,0.0248252221196539
"TNFRSF12A","ENSG00000006327",44.5395896069698,3.30861263499479,0.402493102974703,7.93469017626332e-16,2.49355573479251e-12
NA,"ENSG00000242716",426.587711204844,3.26327939018659,0.386545395105413,4.03996095592141e-19,2.7850193088378e-15
NA,"ENSG00000197476",26.6258319727047,3.20708087928437,0.594893191468869,9.35617575931677e-10,1.312621336662e-07
"KRT23","ENSG00000108244",8.95271127682545,3.19518780824204,0.401029342189055,0.00193971088124074,0.0098191614294252
NA,"ENSG00000256618",154.443890386731,3.07025491731144,0.407525283417052,5.74584705921196e-15,1.12855618551747e-11
